ElectricField(kV/cm)	alpha(1/cm)	eta(1/cm)	velocity(cm/ns)
70	432.373	102.653	0.0138238
75	515.667	90.4433	0.0146534
80	601.294	81.57	0.0154738
85	690.46	72.8299	0.0162995
90	783.327	66.3843	0.017131
95	878.11	60.7964	0.0179467
100	976.42	56.6186	0.018786
102	1016.26	54.1734	0.0191217
104	1054.91	52.9425	0.0194352
106	1094.03	50.987	0.019768
108	1133.75	49.4386	0.0200935
110	1176.49	48.3583	0.0204254
112	1212.16	46.8671	0.0207609
114	1258.66	45.864	0.0210825
116	1294.98	44.1894	0.0214039
118	1343.3	43.6805	0.0217223
120	1383.99	42.3011	0.0220462
122	1424.64	41.3572	0.0223838
124	1463.37	40.1954	0.0226991
126	1508.15	39.055	0.0230224
128	1548.78	38.3869	0.0233479
130	1590.91	37.1379	0.0236679
132	1635.07	36.2073	0.0239996
134	1674.45	35.2323	0.0243186
136	1718.62	34.8013	0.0246312
138	1763.92	34.0931	0.0249473
140	1781.7	33.0117	0.0252741
142	1847.21	32.7091	0.0255837
144	1891.25	32.2532	0.0258983
146	1932.45	31.1737	0.0262239
148	1979.08	30.4949	0.0265283
150	2023.13	30.1258	0.0268486
152	2065.3	29.4751	0.0271708
154	2109.33	28.8158	0.0274814
156	2150.69	28.4943	0.0277868
158	2191.93	27.8177	0.0280964
160	2239.69	27.0988	0.0284304
162	2281.61	26.926	0.0287116
164	2328.41	26.5219	0.029031
166	2371.01	26.0768	0.0293421
168	2414.47	25.5197	0.0296554
170	2455.91	24.7302	0.0299616
175	2567.92	24.0371	0.0307261
180	2674.97	22.8859	0.0314911
185	2785.25	21.9644	0.0322462
190	2897.82	21.3383	0.0330154
195	3005.27	20.6071	0.0337507
200	3120.34	19.7354	0.0344938

