ElectricField(kV/cm)    alpha(1/cm)     eta(1/cm)       velocity(cm/ns)
70 428.042 0.82211 0.0137573
72 462.015 0.759917 0.0140802
74 495.478 0.766934 0.0144036
76 526.557 0.735481 0.0147407
78 562.063 0.700602 0.0150754
80 596.923 0.640976 0.0153939
82 631.944 0.622116 0.0157339
84 668.998 0.617951 0.016058
86 706.205 0.618246 0.0163945
88 743.927 0.558279 0.0167277
90 780.235 0.513035 0.0170552
92 816.698 0.552663 0.0173933
94 856.014 0.544698 0.017719
96 895.187 0.552867 0.0180514
98 933.952 0.511086 0.0183872
100 970.428 0.466718 0.0187091
102 1010.5 0.479264 0.0190435
104 1049.76 0.423374 0.0193642
106 1089.78 0.444072 0.0197035
108 1131.19 0.435076 0.020027
110 1174.3 0.432256 0.0203707
112 1212.81 0.394129 0.0206898
114 1254.17 0.38418 0.0210164
116 1294.67 0.387975 0.0213285
118 1335.22 0.373348 0.0216624
120 1375.52 0.368694 0.0219871
